instance,number,sup,cpm,mis,misr,dir,omega,class,comb. class,other class,cluster,lof_outliers
1,1,3,0,55.0,7.5,aa,1000.0,1,7.0,,2,1
1,2,3,0,26.0,1.4,vo,1000.0,1,7.0,,0,1
1,3,3,0,11.0,0.8,va,1000.0,1,7.0,,0,1
1,4,2,0,7.0,5.5,ao,1000.0,1,7.0,,0,1
1,5,2,0,25.0,5.5,aa,1000.0,1,7.0,,0,-1
1,6,2,0,13.0,0.75,vo,1000.0,1,7.0,,0,1
1,7,2,0,9.0,0.95,va,1000.0,1,7.0,,0,1
1,8,2,6000,8.0,0.4,io,1000.0,1,7.0,,0,1
1,9,2,6000,5.5,0.3,ia,1000.0,1,7.0,,0,1
1,10,2,18000,2.75,0.6,ia,1000.0,1,7.0,,0,1
1,11,2,20000,6.5,0.0,io,1000.0,1,7.0,,0,1
1,12,2,22000,2.75,0.0,ia,1000.0,1,7.0,,0,1
1,13,2,23000,3.75,0.0,io,1000.0,1,7.0,,0,1
1,14,2,2000,1.4,0.0,ia,1000.0,1,7.0,,0,1
1,15,3,4000,18.0,0.0,io,1000.0,1,7.0,,0,1
1,16,3,4000,1.9,0.0,ia,1000.0,1,7.0,,0,1
1,17,3,3000,7.0,0.0,io,1000.0,1,7.0,,0,1
1,18,3,24000,1.25,0.0,ia,1000.0,1,7.0,,0,1
1,19,3,20000,4.0,0.0,ia,1000.0,1,7.0,,0,1
1,20,3,18000,3.5,0.0,io,1000.0,1,7.0,,0,1
1,21,3,6000,2.5,0.25,io,1000.0,1,7.0,,0,1
1,22,3,1000,12.0,1.0,io,1000.0,1,7.0,,0,1
1,23,3,2000,4.5,0.0,io,1000.0,1,7.0,,0,1
1,24,3,2000,4.5,0.35,ia,1000.0,1,7.0,,0,1
1,25,3,4000,18.0,0.0,ma,1000.0,1,7.0,,0,1
2,0,1,0,9.0,0.0,ao,3000.0,1,7.0,,0,1
2,1,1,0,6.0,0.0,av,3000.0,1,7.0,,0,1
2,2,1,0,2.5,0.0,vo,3000.0,1,7.0,,0,1
2,3,1,0,1.3,0.0,vv,3000.0,1,7.0,,0,1
2,4,3,0,65.0,0.0,ao,3000.0,1,7.0,,2,1
2,5,3,0,22.5,0.0,av,3000.0,1,7.0,,0,1
